OBJECTID,AREA_,PERIMETER,FIPS_CO,STATE_CODE,NAME_LC,DISTRICT,COUNTY_NAM,STR_STATECODE,GlobalID,Shape__Area,Shape__Length
1,13142093812.7256,504248.1909,97,49,lake,1,LAKE,049,e55970c7-4758-482b-8dac-a8c909b2685c,13142093706.4473,504248.164157902
2,17041841189.5084,522912.63363,111,56,mchenry,1,MCHENRY,056,d77ea4ae-adb3-4ff9-89b5-7df74b720f17,17042626233.4297,522779.162625244
3,17245837251.6488,579951.49059,85,43,jodaviess,2,JO DAVIESS,043,da793ea1-1066-45ce-bab8-ba8e8015d466,17245836879.6816,579951.512939395
4,15744993486.3095,506026.51459,177,89,stephenson,2,STEPHENSON,089,482a7eeb-eed6-4e0a-9b35-aacb69736d72,15744993738.2251,506026.547527744
5,14477682571.2822,501614.78373,201,101,winnebago,2,WINNEBAGO,101,92db04c7-4429-421a-b781-ec7d17363ae3,14477682886.9858,501614.72275231
6,7863145869.82266,375384.59762,7,4,boone,2,BOONE,004,9f4f733f-e47a-4585-98ec-07bb26af2358,7863145390.26514,375384.592830079
7,21270292981.3779,651584.98163,141,71,ogle,2,OGLE,071,52054beb-ae88-41ad-a1f3-5479f07d43d1,21270292672.1401,651584.952306249
8,13015289057.4601,523122.80838,15,8,carroll,2,CARROLL,008,be78a8ef-1f6e-47fc-827b-ef115d5abe96,13015289048.4097,523122.849607557
9,26734803483.7008,1026420.1519,31,16,cook,1,COOK,016,e4dd82ca-b269-4f00-8265-e7d22811858a,26734803059.8076,1026420.27009528
10,14616343742.1711,513746.93235,89,45,kane,1,KANE,045,daa0b8ef-acc7-465a-83ad-167a0a721d9e,14616343922.1499,513746.834735684
11,17695622747.0302,574131.35605,37,19,dekalb,3,DEKALB,019,02a17648-46ee-427d-b6b1-42776f0de3a7,17695622796.2813,574131.326665545
12,9385064950.75812,405954.52366,43,22,dupage,1,DUPAGE,022,b6ac939b-22fb-41a0-a10c-ecdf26e7a4ad,9385065246.85352,405954.561227253
13,19420056625.6563,601028.9531,195,98,whiteside,2,WHITESIDE,098,bbc57cff-1fb5-4087-8e00-8d3396d7d4b5,19420056523.6924,601028.858103643
14,20322498451.3593,626438.76207,103,52,lee,2,LEE,052,a14c929b-3f2d-4202-b9cf-fc1137a79e26,20322498664.9233,626438.711547726
15,12575447242.9063,769280.92,161,81,rockisland,2,ROCK ISLAND,081,75d62b30-816d-4df6-ba3f-68945fa10b22,12575447505.7427,769280.936701736
16,23691599819.6886,779563.38798,197,99,will,1,WILL,099,5a3244f9-51f4-4c88-a16d-e66b2a078c56,23691600180.0811,779563.368597628
17,8988132724.17142,379070.56688,93,47,kendall,3,KENDALL,047,56ce7b0f-0386-426f-9c71-3a5d868a31d5,8988132571.31836,379070.461167849
