Country,Month,Reported cases of acute respiratory infections,Reported cases of severe acute respiratory infections,Reported cases of influenza-like illnesses,Reported deaths caused by severe acute respiratory infections,Reported cases of influenza-like illness per thousand outpatients,Reported cases of severe acute respiratory illness per thousand outpatients,A H1N12009 - Sentinel surveillance,A H1N12009 - Non-sentinel surveillance,A H1N12009 - Undefined surveillance,A H1N12009 - All types of surveillance,A H1 - Sentinel surveillance,A H1 - Non-sentinel surveillance,A H1 - Undefined surveillance,A H1 - All types of surveillance,A H3 - Sentinel surveillance,A H3 - Non-sentinel surveillance,A H3 - Undefined surveillance,A H3 - All types of surveillance,A H5 - Sentinel surveillance,A H5 - Non-sentinel surveillance,A H5 - Undefined surveillance,A H5 - All types of surveillance,A H7N9 - Sentinel surveillance,A H7N9 - Non-sentinel surveillance,A H7N9 - Undefined surveillance,A H7N9 - All types of surveillance,A (unknown subtype) - Sentinel surveillance,A (unknown subtype) - Non-sentinel surveillance,A (unknown subtype) - Undefined surveillance,A (unknown subtype) - All types of surveillance,Influenza A - Sentinel surveillance,Influenza A - Non-sentinel surveillance,Influenza A - Undefined surveillance,Influenza A - All types of surveillance,B Yamagata - Sentinel surveillance,B Yamagata - Non-sentinel surveillance,B Yamagata - Undefined surveillance,B Yamagata - All types of surveillance,B Victoria - Sentinel surveillance,B Victoria - Non-sentinel surveillance,B Victoria - Undefined surveillance,B Victoria - All types of surveillance,B (unknown lineage)  - Sentinel surveillance,B (unknown lineage) - Non-sentinel surveillance,B (unknown lineage) - Undefined surveillance,B (unknown lineage) - All types of surveillance,Influenza B - Sentinel surveillance,Influenza B - Non-sentinel surveillance,Influenza B - Undefined surveillance,Influenza B - All types of surveillance,All strains - Sentinel surveillance,All strains - Non-sentinel surveillance,All strains - Undefined surveillance,All strains - All types of surveillance,Sentinel surveillance,Non-sentinel surveillance,Undefined surveillance,All types of surveillance,Share of positive tests - Sentinel surveillance,Share of positive tests - Non-sentinel surveillance,Share of positive tests - Undefined surveillance,Share of positive tests - All types of surveillance,A H1N12009,A H1,A H3,A H5,A H7N9,A (unknown subtype),All Influenza A,B Victoria,B Yamagata,B (unknown lineage),All Influenza B,A H1N12009,A H1,A H3,A H5,A H7N9,A (unknown subtype),All Influenza A,B Victoria,B Yamagata,B (unknown lineage),All Influenza B,A H1N12009,A H1,A H3,A H5,A H7N9,A (unknown subtype),All Influenza A,B Victoria,B Yamagata,B (unknown lineage),All Influenza B,A H1N12009,A H1,A H3,A H5,A H7N9,A (unknown subtype) ,All Influenza A,B Victoria,B Yamagata,B (unknown lineage),All Influenza B,reported_sari_icu,outpatients_ari,outpatientssari,outpatients_ili,outpatientssari_deaths,outpatientssari_icu,inpatientsari,inpatients_sari,inpatientsili,inpatientssari_deaths,inpatients_sari_icu,spec_processed_nbnonsentinel,spec_processed_nbnotdefined,spec_processed_nbsentinel,spec_received_nbnonsentinel,spec_received_nbnotdefined,spec_received_nbsentinel,spec_processed_nbcombined,spec_received_nbcombined,ari_cases_per_thousand_outpatients
United States,2009-01-01,,,,,,,,,,,,,1266,1266,,,173,173,,,,,,,,,,,2327,2327,,,3766,3766,,,,,,,,,,,751,751,,,751,751,,,4517,4517,,,,,,,13.755905151367188,13.755905151367188,0,1266,173,0,0,2327,,0,0,751,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,1266,173,0,0,2327,,0,0,751,,,,,,,,,,,,,,31459.0,,,31459,,31459.0,31459,
United States,2009-02-01,,,,,,,,,,,,,3034,3034,,,245,245,,,,,,,,,,,4823,4823,,,8102,8102,,,,,,,,,,,3711,3711,,,3711,3711,,,11813,11813,,,,,,,24.47031021118164,24.47031021118164,0,3034,245,0,0,4823,,0,0,3711,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,3034,245,0,0,4823,,0,0,3711,,,,,,,,,,,,,,48250.0,,,48250,,48250.0,48250,
United States,2009-03-01,,,,,,,,,,,,,1664,1664,,,266,266,,,,,,,,,,,2443,2443,,,4373,4373,,,,,,,,,,,4253,4253,,,4253,4253,,,8626,8626,,,,,,,19.426814842224122,19.426814842224122,0,1664,266,0,0,2443,,0,0,4253,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,1664,266,0,0,2443,,0,0,4253,,,,,,,,,,,,,,42685.0,,,42685,,42685.0,42685,
United States,2009-04-01,,,,,,,,,1513,1513,,,851,851,,,950,950,,,,,,,,,,,780,780,,,4094,4094,,,,,,,,,,,1369,1369,,,1369,1369,,,5463,5463,,,,,,,9.182134628295898,9.182134628295898,1513,851,950,0,0,780,,0,0,1369,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,1513,851,950,0,0,780,,0,0,1369,,,,,,,,,,,,,,49462.0,,,49462,,49462.0,49462,
United States,2009-05-01,,,,,,,,,9816,9816,,,740,740,,,1486,1486,,,,,,,,,,,3078,3078,,,15120,15120,,,,,,,,,,,759,759,,,759,759,,,15879,15879,,,,,,,22.54689383506775,22.54689383506775,9816,740,1486,0,0,3078,,0,0,759,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,9816,740,1486,0,0,3078,,0,0,759,,,,,,,,,,,,,,78115.0,,,78115,,78115.0,78115,
United States,2009-06-01,,,,,,,,,17518,17518,,,161,161,,,1012,1012,,,,,,,,,,,5102,5102,,,23793,23793,,,,,,,,,,,64,64,,,64,64,,,23857,23857,,,,,,,37.71618995666504,37.71618995666504,17518,161,1012,0,0,5102,,0,0,64,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,17518,161,1012,0,0,5102,,0,0,64,,,,,,,,,,,,,,62617.0,,,62617,,62617.0,62617,
United States,2009-07-01,,,,,,,,,8412,8412,,,56,56,,,95,95,,,,,,,,,,,2327,2327,,,10890,10890,,,,,,,,,,,18,18,,,18,18,,,10908,10908,,,,,,,29.426730155944824,29.426730155944824,8412,56,95,0,0,2327,,0,0,18,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,8412,56,95,0,0,2327,,0,0,18,,,,,,,,,,,,,,36965.0,,,36965,,36965.0,36965,
United States,2009-08-01,,,,,,,,,7430,7430,,,33,33,,,56,56,,,0,0,,,,,,,3224,3224,,,10743,10743,,,,,,,,,,,27,27,,,27,27,,,10770,10770,,,,,,,21.56333236694336,21.56333236694336,7430,33,56,0,0,3224,,0,0,27,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,7430,33,56,0,0,3224,,0,0,27,,,,,,,,,,,,,,50399.0,,,50399,,50399.0,50399,
United States,2009-09-01,,,47303,,55.383056640625,,,,11616,11616,,,14,14,,,22,22,,,0,0,,,,,,,6756,6756,,,18408,18408,,,,,,,,,,,51,51,,,51,51,,,18459,18459,,,,,,,24.278789520263672,24.278789520263672,11616,14,22,0,0,6756,,0,0,51,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,11616,14,22,0,0,6756,,0,0,51,,,,,854106.0,,,,,,,,,75630.0,,,75630,,75630.0,75630,
United States,2009-10-01,,,242433,,68.14910888671875,,,,32221,32221,,,6,6,,,6,6,,,0,0,,,,,,,8609,8609,,,40842,40842,,,,,,,,,,,86,86,,,86,86,,,40928,40928,,,,,,,35.90960693359375,35.90960693359375,32221,6,6,0,0,8609,,0,0,86,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,32221,6,6,0,0,8609,,0,0,86,,,,,3554855.0,,,,,,,,,113460.0,,,113460,,113460.0,113460,
